标题	面积	单价	总价
  ！百环家园西南两居（低总价，可高贷）劲松双井地铁口	95.83㎡	55829元/㎡	535万元
百子湾 赛洛城 近医院 满五   精装可拎包入住 商圈成熟	93.7㎡	53256元/㎡	499万元
国贸，三环边，华腾园二期，满五  ，东南精装二居室	86.38㎡	67840元/㎡	586万元
朝阳485（免 用金）7号线焦化厂，地铁200米	75㎡	71067元/㎡	533万元
百环家园 交通便利   清晰 刚需两居 西南户型 临地铁	96㎡	58125元/㎡	558万元
大屯里小区高层东南两居，采光充足视野好，精装修	84.23㎡	60549元/㎡	510万元
丰益花园东区 楼下公园 丽泽商务区旁紧邻地铁10号线泥洼站	96.66㎡	51625元/㎡	499万元
玉泉路15号院 南北三居室 明厨明卫 高层无遮挡 诚意出售	76.39㎡	65323元/㎡	499万元
国贸cbd，次顶层位置，全屋精装，同户型无竞品	86.38㎡	67840元/㎡	586万元
特价！国贸6站地，中海城！东向2居！高层视野佳，不临街！	97.45㎡	59416元/㎡	579万元
常营 富力阳光美园 南向三居 楼层采光好	88.88㎡	54906元/㎡	488万元
国美第一城2号院，两梯三户全南两居，小区前排无遮挡	97.26㎡	54494元/㎡	530万元
业主急售 别看报价 我知业主底价 沿海赛洛城两居 离地铁近	85.18㎡	52712元/㎡	449万元
2005年小区 东三环边 双井地铁口 高层正规两居室 低总价	109.44㎡	45688元/㎡	500万元
玉泉路15号院 南北通透三居室 全明格局 海淀  上玉泉	76.39㎡	65323元/㎡	499万元
西山林语 次新小区 电梯房 全明格局两居	91㎡	54836元/㎡	499万元
劲松五区3居室 田字格户型 满五   带租赁车位 小  	74.22㎡	61035元/㎡	453万元
地铁房！温馨两居室 南向不临街 居住舒适 首付140 稳定	80.92㎡	57835元/㎡	468万元
急急急 业主急疯了 看房方便 有电梯 随时签 公摊低	97.13㎡	50448元/㎡	490万元
国贸旁 东向高层大两居 同户型无竞品 公园社区	99㎡	62425元/㎡	618万元
南宫景苑(一区)~南北三居室~有钥匙~户型方正~采光好无遮挡	90.82㎡	34134元/㎡	310万元
VIP老客户！仅我可卖！15层！两卫！价格有惊喜！私密性好	93.14㎡	57978元/㎡	540万元
朝阳四环，精装现房，保利打造！商教配套完善	67㎡	71045元/㎡	476万元
国贸1号线 通惠家园惠民园2001年社区 南北通透 无遮挡	87.73㎡	59957元/㎡	526万元
胜古北里 电梯房 21户型 双阳台 临近公园地铁	68.24㎡	61548元/㎡	420万元
（优选好房）朝阳区富力又一城C区全南向2居室高楼层带储物间	88.38㎡	55217元/㎡	488万元
公主坟 翠微路 西长安街延长线商圈闹中取静的吉祥屋	68.58㎡	78449元/㎡	538万元
买房0慵金 聚兴园 2室1厅 97.36平	97.36㎡	53411元/㎡	520万元
次新盘！满五  ！随时看！高层！  ！有车位	90.51㎡	88389元/㎡	800万元
亚运村  慧忠里 南北通透 随时看房 满五年 不临街	54.02㎡	81452元/㎡	440万元
超 ，太阳宫地铁口，新纪家园单独管理两居室 看房方便诚意出售	84.77㎡	82459元/㎡	699万元
区域聚焦丨别的公司没有，高层观绿化，满五年商品房	103.57㎡	55808元/㎡	578万元
急售 南北通透 东边户 餐厅带大东窗 客卫带窗 带大阳台	92㎡	61848元/㎡	569万元
靠谱签约 西山枫林二期 两居室 中间位置 可贷243萬	83.43㎡	52619元/㎡	439万元
满五  ！13年社区！园林社区！业主急售！价格可大谈	76.56㎡	86207元/㎡	660万元
学知园 城华园 东南两居 视野开阔 采光好 无任何遮挡	72.86㎡	68351元/㎡	498万元
国贸CBD站，高层，无天井，东向二居室，满五  	89.2㎡	61660元/㎡	550万元
急售好房，精装修2室，正对小区采光好，临近三条地铁线，有钥匙	85.02㎡	47636元/㎡	405万元
（优选好房）恒大御景湾东区满五年南北三居室业主诚意出售	89.06㎡	39300元/㎡	350万元
万科假日风景(D区)   清晰 刚需小三居 板楼 南北通透	92.04㎡	70622元/㎡	650万元
（新上）宋家庄 赵公口 彩虹城 满五  高楼层 视野开阔	92.13㎡	55140元/㎡	508万元
东四环精装地铁口现房！户型方正！低总价！低单价！刚需	88㎡	62500元/㎡	550万元
